dataset,n,Impacto Optimo,Impacto Conseguido,tiempo
H1,6,1,1.0,0.0746
H1,8,6,5.0,0.1052
H1,10,3,3.0,0.1408
H1,12,16,14.0,0.2547
H1,14,12,9.0,0.3492
H1,16,20,19.0,0.4071
H1,18,27,17.0,0.4044
H1,20,25,17.0,0.924
H1,22,26,23.0,0.8577
H1,24,33,21.0,0.8572
H1,26,38,29.0,1.1623
H1,28,48,30.0,1.1406
H1,30,47,32.0,1.4611
H2,6,1,1.0,0.1024
H2,8,6,4.0,0.2381
H2,10,3,2.0,0.3952
H2,12,16,10.0,0.7767
H2,14,12,5.0,1.7657
H2,16,20,10.0,2.164
H2,18,27,8.0,3.3498
H2,20,25,11.0,4.0123
H2,22,26,14.0,5.543
H2,24,33,8.0,7.5489
H2,26,38,5.0,12.3474
H2,28,48,18.0,13.6915
H2,30,47,10.0,17.2381
